Probe Measurement Outcomes 
Delta: -54083715.725774
J: 3.25737133530311e-19
bit_errors:
- 0
- 0
- 0
- 0
cOpts:
  D: 4.0e-07
  cOffset:
  - 0
  - 0
  - 0
  d: 4.0e-08
  pJit: false
  rstd: 1.0e-09
  tau: 0.003378770521134961
  xstd: 0
  ystd: 0
  zstd: 1e-9
circ: true
folder: displacement\800runs_randombitflips_randomtwirl_6nmdisplacement
qubit_displacement_error: true
qubit_displacement_halfheight: 3e-9
qubit_displacement_radius: 6e-9
r:
- 0
- 0
- 4.0e-08
random_errors: true
runs: 800
specify_errors: false
steps: 5000
subfolder: plots
time: 0.003378770521134961
twirl: true

 
sigmax exp.	Prob. of |+>	Prob. of |->
-0.999921889596	 3.90552020084e-05 	 0.999960944798 
-0.992966921658	 0.00351653917095 	 0.996483460829 
-0.986151300015	 0.00692434999255 	 0.993075650007 
-0.9948336032	 0.00258319839995 	 0.9974168016 
-0.997197179866	 0.0014014100672 	 0.998598589933 
-0.999714591597	 0.000142704201302 	 0.999857295799 
-0.977139948617	 0.0114300256914 	 0.988569974309 
-0.9283479623	 0.0358260188499 	 0.96417398115 
-0.963765343963	 0.0181173280186 	 0.981882671981 
-0.951365991311	 0.0243170043445 	 0.975682995656 
-0.990025207711	 0.00498739614464 	 0.995012603855 
-0.888254772247	 0.0558726138767 	 0.944127386123 
-0.992345393153	 0.00382730342355 	 0.996172696576 
-0.936413484918	 0.0317932575409 	 0.968206742459 
-0.987865143168	 0.00606742841583 	 0.993932571584 
-0.994849262819	 0.00257536859054 	 0.997424631409 
-0.992101794254	 0.00394910287298 	 0.996050897127 
-0.969060662578	 0.0154696687111 	 0.984530331289 
-0.975769201527	 0.0121153992366 	 0.987884600763 
-0.999280506068	 0.000359746966113 	 0.999640253034 
-0.922988325265	 0.0385058373677 	 0.961494162632 
-0.999708880899	 0.000145559550331 	 0.99985444045 
-0.999999931681	 3.41596708697e-08 	 0.99999996584 
-0.995617556503	 0.00219122174834 	 0.997808778252 
-0.971747663395	 0.0141261683025 	 0.985873831697 
-0.880850839564	 0.0595745802182 	 0.940425419782 
-0.995342356812	 0.00232882159412 	 0.997671178406 
-0.973673482043	 0.0131632589787 	 0.986836741021 
-0.943983080317	 0.0280084598415 	 0.971991540159 
-0.990440998636	 0.00477950068202 	 0.995220499318 
-0.947494090123	 0.0262529549385 	 0.973747045062 
-0.999571531946	 0.000214234026867 	 0.999785765973 
-0.999862078966	 6.8960516948e-05 	 0.999931039483 
-0.934367449541	 0.0328162752293 	 0.967183724771 
-0.995130473376	 0.00243476331221 	 0.997565236688 
-0.958915706422	 0.020542146789 	 0.979457853211 
-0.976218794657	 0.0118906026716 	 0.988109397328 
-0.97271316185	 0.0136434190751 	 0.986356580925 
-0.858475280836	 0.070762359582 	 0.929237640418 
-0.90478242822	 0.04760878589 	 0.95239121411 
-0.992858383533	 0.00357080823362 	 0.996429191766 
-0.994284617082	 0.00285769145916 	 0.997142308541 
-0.995321207259	 0.00233939637049 	 0.99766060363 
-0.952204110208	 0.0238979448962 	 0.976102055104 
-0.999313642149	 0.000343178925679 	 0.999656821074 
-0.999982262459	 8.86877063805e-06 	 0.999991131229 
-0.995629381054	 0.00218530947281 	 0.997814690527 
-0.90776460135	 0.0461176993248 	 0.953882300675 
-0.979164012634	 0.010417993683 	 0.989582006317 
-0.973343417342	 0.0133282913288 	 0.986671708671 
-0.994669090591	 0.00266545470475 	 0.997334545295 
-0.997408904814	 0.00129554759313 	 0.998704452407 
-0.996740576681	 0.00162971165949 	 0.998370288341 
-0.994969344485	 0.00251532775732 	 0.997484672243 
